;Condit;Task;stim_file;coffee1.thisRepN;coffee1.thisTrialN;coffee1.thisN;coffee1.thisIndex;coffee2.thisRepN;coffee2.thisTrialN;coffee2.thisN;coffee2.thisIndex;key_resp_instructions.keys;key_resp_instructions.rt;key_resp_instructions.started;key_resp_instructions.stopped;image_instructions.started;image_instructions.stopped;polygon.started;polygon.stopped;key_resp.keys;key_resp.rt;key_resp.started;key_resp.stopped;image.started;image.stopped;participant;session;date;expName;psychopyVersion;frameRate;
;coffee_b;no-go;coffee2.png;;;;;0;3;3;20;;;;;;;204.4996193429979;205.00334065800416;None;;205.24953354199533;None;205.24953354199533;205.7542525119934;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;go;water.png;;;;;0;4;4;4;;;;;;;207.01739156400436;207.52097367600072;space;0.31136971899832133;207.76742298499448;206.77530268399278;207.76742298499448;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;no-go;coffee2.png;;;;;0;5;5;24;;;;;;;208.35182511000312;208.85500063399377;None;;209.10144383099396;None;209.10144383099396;209.60624474400538;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;go;water.png;;;;;0;6;6;0;;;;;;;210.8693989559979;211.37363025599916;space;0.3532946799969068;211.61933671799488;210.62708356199437;211.61933671799488;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;no-go;coffee2.png;;;;;0;7;7;22;;;;;;;212.2363720680005;212.74107677000575;None;;212.98664238599304;None;212.98664238599304;213.4871951660025;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;no-go;coffee2.png;;;;;0;8;8;28;;;;;;;214.72126283400576;215.2253896379989;None;;215.47096855500422;214.49182671800372;215.47096855500422;215.9757116539986;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;go;water.png;;;;;0;9;9;3;;;;;;;217.23912929199287;217.74280569699476;space;0.3776241549931001;217.98887789099535;216.99586784699932;217.98887789099535;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;go;water.png;;;;;0;10;10;1;;;;;;;218.65797210199526;219.15993656800129;space;0.34443154599284753;219.40598912499263;None;219.40598912499263;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;no-go;coffee2.png;;;;;0;11;11;19;;;;;;;220.02337494399399;220.52760108400253;space;0.344975924002938;220.77344467799412;None;220.77344467799412;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;no-go;coffee2.png;;;;;0;12;12;27;;;;;;;221.39127809800266;221.8948479690007;None;;222.1408461779938;None;222.1408461779938;222.64558026799932;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;no-go;coffee2.png;;;;;0;13;13;16;;;;;;;223.87565484299557;224.37939569899754;None;;224.62531696799851;223.64599234200432;224.62531696799851;225.12584160399274;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;go;water.png;;;;;0;14;14;8;;;;;;;226.3932849099947;226.8971002879989;space;0.4457008949975716;227.1433833859919;226.15091146799386;227.1433833859919;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;no-go;coffee2.png;;;;;0;15;15;26;;;;;;;227.86077983499854;228.3642095929972;None;;228.61056198799633;None;228.61056198799633;229.1113083149976;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;no-go;coffee2.png;;;;;0;16;16;15;;;;;;;230.3451967860019;230.84518483499414;None;;231.09613090599305;230.11586502499995;231.09613090599305;231.59622074199433;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;go;water.png;;;;;0;17;17;6;;;;;;;232.8797129309969;233.3839541280031;space;0.4220346840011189;233.62950806200388;232.63766590200248;233.62950806200388;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;go;water.png;;;;;0;18;18;13;;;;;;;234.33179551899957;234.83445242300513;space;0.41920889999892097;235.08027222400415;None;235.08027222400415;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;no-go;coffee2.png;;;;;0;19;19;21;;;;;;;235.76422689200263;236.26795036099793;None;;236.51438948500436;None;236.51438948500436;237.01905439900293;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;go;water.png;;;;;0;20;20;7;;;;;;;238.28265022499545;238.78593652299605;space;0.38548780500423163;239.03205569800048;238.03934200899675;239.03205569800048;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;go;water.png;;;;;0;21;21;5;;;;;;;239.7164748609939;240.2199307599949;space;0.4628132649959298;240.46660749000148;None;240.46660749000148;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;no-go;coffee2.png;;;;;0;22;22;29;;;;;;;241.20051960999263;241.70408859600138;None;;241.9500849210017;None;241.9500849210017;242.45060854000621;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;no-go;coffee2.png;;;;;0;23;23;18;;;;;;;243.6848687860038;244.18884994300606;None;;244.4347306760028;243.45537325199984;244.4347306760028;244.93947822100017;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;go;water.png;;;;;0;24;24;12;;;;;;;246.20291401199938;246.70631668200076;space;0.4383292130078189;246.95258624899725;245.9599976890022;246.95258624899725;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;go;water.png;;;;;0;25;25;10;;;;;;;247.6867808179959;248.19057414699637;space;0.31419809799990617;248.43670002599538;None;248.43670002599538;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;no-go;coffee2.png;;;;;0;26;26;23;;;;;;;249.0208209429984;249.53394071999355;None;;249.77431591200002;None;249.77431591200002;250.28665461599303;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;no-go;coffee2.png;;;;;0;27;27;17;;;;;;;251.52206466300413;252.02565274199878;None;;252.27180319899344;251.29239332499856;252.27180319899344;252.77286537300097;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;go;water.png;;;;;0;28;28;9;;;;;;;254.03975494099723;254.54338834200462;space;0.3038333560107276;254.78988337499322;253.80052284400153;254.78988337499322;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;go;water.png;;;;;0;29;29;11;;;;;;;255.37373969600594;255.87809464300517;space;0.3702267699991353;256.1236192960059;None;256.1236192960059;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
